Ep,Step,Reward,Total_reward,Action,Epsilon,Done,Termination_Code
1.0,1.0,0.0,0.0,3.0,1.0,0.0
1.0,2.0,0.0,0.0,4.0,1.0,0.0
1.0,3.0,20.0,20.0,1.0,1.0,0.0
1.0,4.0,500.0,520.0,5.0,1.0,0.0
1.0,5.0,500.0,1020.0,5.0,1.0,0.0
1.0,6.0,0.0,1020.0,4.0,1.0,0.0
1.0,7.0,0.0,1020.0,4.0,1.0,0.0
1.0,8.0,500.0,1520.0,5.0,1.0,0.0
1.0,9.0,500.0,2020.0,5.0,1.0,0.0
1.0,10.0,0.0,2020.0,4.0,1.0,0.0
1.0,11.0,500.0,2520.0,5.0,1.0,0.0
1.0,12.0,500.0,3020.0,5.0,1.0,0.0
1.0,13.0,0.0,3020.0,4.0,1.0,0.0
1.0,14.0,100.0,3120.0,2.0,1.0,0.0
1.0,15.0,20.0,3140.0,1.0,1.0,0.0
1.0,16.0,500.0,3640.0,5.0,1.0,0.0
1.0,17.0,500.0,4140.0,5.0,1.0,0.0
1.0,18.0,500.0,4640.0,5.0,1.0,0.0
1.0,19.0,0.0,4640.0,4.0,1.0,0.0
1.0,20.0,0.0,4640.0,4.0,1.0,0.0
1.0,21.0,460.0,5100.0,5.0,1.0,0.0
1.0,22.0,-40.0,5060.0,4.0,1.0,0.0
1.0,23.0,20.0,5080.0,3.0,1.0,0.0
1.0,24.0,20.0,5100.0,3.0,1.0,0.0
1.0,25.0,500.0,5600.0,5.0,1.0,0.0
1.0,26.0,500.0,6100.0,5.0,1.0,0.0
1.0,27.0,0.0,6100.0,4.0,1.0,0.0
1.0,28.0,0.0,6100.0,4.0,1.0,0.0
1.0,29.0,500.0,6600.0,5.0,1.0,0.0
1.0,30.0,500.0,7100.0,5.0,1.0,0.0
1.0,31.0,500.0,7600.0,5.0,1.0,0.0
1.0,32.0,0.0,7600.0,4.0,1.0,0.0
1.0,33.0,500.0,8100.0,5.0,1.0,0.0
1.0,34.0,0.0,8100.0,4.0,1.0,0.0
1.0,35.0,500.0,8600.0,5.0,1.0,0.0
1.0,36.0,500.0,9100.0,5.0,1.0,0.0
1.0,37.0,0.0,9100.0,4.0,1.0,0.0
1.0,38.0,500.0,9600.0,5.0,1.0,0.0
1.0,39.0,500.0,10100.0,5.0,1.0,0.0
1.0,40.0,500.0,10600.0,5.0,1.0,0.0
1.0,41.0,0.0,10600.0,4.0,1.0,0.0
1.0,42.0,500.0,11100.0,5.0,1.0,0.0
